,2020_transmissionOilTemperature,2021_transmissionOilTemperature
00,,39.68235294117647
01,37.14654837588667,39.67697080756558
02,64.88678993476923,55.20610379968377
03,40.452044520956555,63.14032643549114
04,60.38641951352654,56.45533925230959
05,57.85566108370061,53.98444701208667
06,52.968062335859685,52.49513750196242
07,51.0078217116445,52.66318589956767
08,43.823817545678374,46.45594330447655
09,55.26789611886695,35.38380368098159
10,43.85440444528212,58.976359922550934
11,64.00943815950795,64.99643004187546
12,44.778722228270425,66.39415125217705
