,2020_twoAxisLeftRelativeSpeed,2021_twoAxisLeftRelativeSpeed
00,,0.0
01,-0.007117769470522438,-5.3729779175047745e-05
02,-0.02681720840726703,0.0020753102267872026
03,-0.002653329016206203,-0.015040098253271595
04,-0.008244439848458133,-0.0030427195066390746
05,-0.00411602255399554,-0.026982097186716306
06,0.009158983313098775,0.0010151217763286577
07,-0.027127343302997733,-0.016373987669130775
08,-0.00247073560537343,0.013505156413678769
09,-0.02714314254087797,-0.036000000000000115
10,2.0940508016724505e-05,0.01725817695716573
11,0.0014271903131747319,-0.0345830524035208
12,-0.000562672695302688,0.011978845670254213
