,2020_coolingFanCoolantTemperature,2021_coolingFanCoolantTemperature
00,,9.528235294117646
01,33.91454090041035,6.120957722218098
02,70.55231695366044,59.44203872487075
03,44.40272665303608,69.43141876118203
04,67.13863321875662,63.72358653911794
05,66.566874910915,60.56359847844244
06,63.339535536615266,61.690541020767036
07,61.342924487095836,62.89264492993821
08,54.659958533081436,56.70604919599907
09,64.35297704616492,30.857386503067676
10,43.52930693898246,63.680874796147776
11,68.80978769325883,70.47825524670453
12,45.99489527153752,69.67482424561206
