,2020_transmissionInputSpeed,2021_transmissionInputSpeed
00,,283.7176470588235
01,1932.2466967549574,231.3049438797637
02,564.0837252089156,539.6229525032093
03,578.3822872820845,553.7845513069675
04,493.6892146599091,526.9255557891139
05,562.6089922552902,631.6130155659704
06,500.79153880793467,494.1462768844814
07,551.6263111839079,514.9842239332421
08,551.3953868083452,452.00535927687264
09,590.2984842083025,383.3246625766871
10,407.44081165409074,512.8607987580943
11,520.7674756380301,599.6033137758395
12,530.112283345893,552.9182743231628
