,2020_coolingFanHydraulicValveDutyRatio,2021_coolingFanHydraulicValveDutyRatio
00,,70.26588235294118
01,98.02493384935282,77.8696955164699
02,91.45439736020997,99.03536371416844
03,99.37427573278094,94.90391907345521
04,86.83477176210067,76.23369281905963
05,79.4197151408248,82.89782024486516
06,57.884844491537464,66.6679176363572
07,52.07981646214796,38.73653924205611
08,48.061199084142714,47.171300635000705
09,61.822291391586795,99.9207484662576
10,99.88694010316519,89.5979522930731
11,96.27602417624759,93.64466230997331
12,99.39544629792454,97.24652683887383
