,2020_transmissionInputSpeed,2021_transmissionInputSpeed
01,,525.131432864736
02,489.8309638720855,499.327663820109
03,475.6229028760557,598.1046259654148
04,409.5661245732301,196.84437017299484
05,453.90308892499866,477.03588368061236
06,496.3822086660298,681.708551318833
07,563.1117571340986,664.6026567833804
08,607.4937988255217,460.7899217846491
09,553.6439456568041,542.4339136440918
10,573.9963609611874,573.2064443486759
11,476.79982275781026,672.9635411693562
12,478.8146413944661,551.1411369554065
13,574.5950733976995,403.52390692389145
14,477.42685782273463,226.77389984825493
15,1196.9633896522414,595.4260110520573
16,674.8828035286682,445.8788102376258
17,504.868179413359,494.5513722992231
18,602.0676665237149,584.7087184221936
19,579.9864740013503,430.3032294199319
20,351.6044944221968,444.42070315035846
21,551.4626234457266,289.8386602672521
22,474.9008640178887,566.8478854311032
23,517.5061589681136,482.29766645356915
24,659.455973705834,470.75322075913607
25,551.0151647710703,486.5498484317066
26,516.0863769661423,620.7347082721516
27,738.053700090063,564.6730687394834
28,529.4619672245572,587.5696800276538
29,503.07906465990567,553.1256967678589
30,549.9039855072464,521.946227228449
31,336.6552102090347,606.678227056567
