,2020_transmissionOilTemperature,2021_transmissionOilTemperature
01,,65.52891063533853
02,52.4213564528692,69.12369890848855
03,54.97004373229841,55.446625438605516
04,69.36994114338675,43.22258149525439
05,64.64329885792178,52.11879722612934
06,63.258031057806086,59.19518115348532
07,61.89197553285774,52.8766799960987
08,54.91870317098004,63.45323437214682
09,61.2124124019626,56.22877408614338
10,58.78002156129701,59.471342161090895
11,60.989297855009504,56.66892047043417
12,64.38725719744507,52.68974584829625
13,62.73159876850968,42.60348319366805
14,51.929962061548366,35.0
15,46.8088216406637,60.86935586061246
16,52.98255399846863,64.85726409481703
17,53.41926457795032,59.463821754372916
18,60.788358115794665,55.80408206555137
19,61.790206097898405,56.36597995665143
20,37.145564923511586,56.04220135838231
21,52.816293441118724,51.52721305599427
22,44.137157701761744,54.44323976631455
23,48.84825084648623,49.22723713230103
24,57.95881618240895,57.15436498298451
25,35.12687764328423,53.58287090389818
26,35.0,58.636729756388064
27,54.98534571723426,65.01162867873848
28,54.97129509835448,53.89042924131297
29,36.307274666321945,51.09761983175999
30,46.10395492598823,51.10903827957471
31,38.23468588438038,53.78831349675521
