,2020_acceleratorPedal,2021_acceleratorPedal
01,,4.872302046594804
02,2.016422441091044,3.870432991460327
03,3.9200738986532757,6.640381041752842
04,3.1048645822606327,0.8354283180584198
05,2.2279150718900893,1.9621536750515194
06,1.8633278699540434,9.113309441791667
07,4.296731556808794,5.98918170291622
08,8.421499605206701,3.7514418102136466
09,6.603122595461747,5.626127562104468
10,6.706033679038165,5.483122811064104
11,3.0293014355314116,8.394370103622467
12,3.3571103036659675,1.3957790877383176
13,6.2900054076585965,1.373487254977919
14,5.408208674002973,0.19423368740515934
15,3.7086636631392684,4.495512301573334
16,8.723176691561996,4.104928082311631
17,5.50461386659223,3.162497617132469
18,5.442538420805724,7.058347395640009
19,6.112672660172292,3.9838840164207068
20,3.969956736270023,4.03840648928705
21,5.06192100131215,2.834518755810437
22,4.929053526360356,6.142822092398692
23,2.7553002567650617,5.430053941919367
24,8.66791407442188,2.991622536799703
25,13.847914843977836,5.410643601563283
26,2.49346840842442,7.360132357402207
27,12.814507655358751,3.6128889947333693
28,1.633716727241907,8.902923185595984
29,0.015535172146502164,3.4419824372947403
30,0.6783026755852842,3.188940891939403
31,5.322320519846551,1.735608628254644
