,2020_coolingFanIntakeAirTemperature,2021_coolingFanIntakeAirTemperature
01,,39.54800649494783
02,40.65349959598959,37.10550937646319
03,41.004005934714215,37.01674270625643
04,37.823983871859426,15.086383087292042
05,39.102348075869735,32.241330836417625
06,35.469238747432335,37.86167492281106
07,37.79945053985013,37.888248902752295
08,40.7966492077185,38.167797416153306
09,40.99844560547603,36.95379032068501
10,41.866730440447185,39.50786378064797
11,39.05498842275646,35.65291929813332
12,40.66973516633165,39.358290017505254
13,37.6062379594947,38.4990206864278
14,36.49644990079869,19.339301972685842
15,35.68768954055163,36.58266586885564
16,37.27514532166021,41.34216867117101
17,35.03280329512927,35.99575245143485
18,41.82314615338691,37.70809895288087
19,40.540734705468104,40.67617903119981
20,25.8673177141447,42.934346666156586
21,38.05768402288898,45.03134499711982
22,36.45051257388967,38.91861037246884
23,40.28084284105455,32.59625615863086
24,38.14203545016334,36.52148717417281
25,38.332225138524244,37.17277971238824
26,11.655555555555626,40.686170214755194
27,39.989014184933296,37.99209224607916
28,39.10394437047761,35.39871680421554
29,29.59534898743595,38.85913085228781
30,32.44174641505033,37.64773768068313
31,38.86637438346432,39.52232468931298
